CustomerID,Recency,Frequency,Monetary,Cluster,PCA1,PCA2
12346.0,326,1,77183.6,2,0.8726580496435797,2.6867580095552697
12347.0,2,7,4310.0,1,2.5502598971795694,-0.8044273463632133
12348.0,75,4,1797.24,2,0.4751417941871488,0.7461208779133904
12349.0,19,1,1757.55,0,0.14583196924288638,-0.46048046680295335
12350.0,310,1,334.4,3,-1.6889904949654109,0.6765554894664506
12352.0,36,8,2506.04,2,1.4395747508697954,0.6364771321502131
12353.0,204,1,89.0,3,-2.153986943744781,-0.06623115751699128
12354.0,232,1,1079.4,3,-1.0235592605169654,0.9190028273014885
12355.0,214,1,459.4,3,-1.397610429849014,0.5577377823772005
12356.0,23,3,2811.43,2,0.9259844273230339,0.09225827403031915
12357.0,33,1,6207.67,2,0.5416740683657242,0.3348213721850228
12358.0,2,2,1168.06,0,1.0437798089466375,-1.6560055994351537
12359.0,58,4,6372.58,2,1.1723462675744463,1.0458853584509291
12360.0,52,3,2662.06,2,0.5973588398722146,0.5746954619260524
12361.0,287,1,189.9,3,-1.9270667831567705,0.4228329532496284
12362.0,3,10,5226.23,1,2.81984265247381,-0.4295686845806042
12363.0,110,2,552.0,3,-0.6912538378174342,0.3610473576335415
12364.0,8,4,1313.1,0,1.1415540880391115,-0.7206488623482659
12365.0,291,2,641.38,3,-0.9897521043032814,1.0287798268799606
12367.0,4,1,168.9,0,-0.4334430998624941,-2.189545491937627
12370.0,51,4,3545.69,2,0.9424586559120679,0.7525926204977906
12371.0,45,2,1887.96,2,0.22827949141447748,0.24941287036656673
12372.0,72,3,1298.04,2,0.13437216049610307,0.5165553539123865
12373.0,311,1,364.6,3,-1.6493047362822792,0.7099533965968708
12374.0,25,1,742.9300000000001,0,-0.362663336698522,-0.607086362414656
12375.0,11,2,457.5,0,0.06988920098928603,-1.117561554436881
12377.0,315,2,1628.12,2,-0.5783259692518175,1.4173868116827135
12378.0,130,1,4008.62,2,-0.18123170122265825,1.0309438422749022
12379.0,82,2,852.24,2,-0.3743784838820117,0.33450605167282016
12380.0,22,4,2724.81,2,1.1292507908117342,0.1396355990577098
12381.0,5,5,1845.31,1,1.6227713603000662,-0.783969520138455
12383.0,185,5,1850.56,2,0.3119288911621611,1.3942551695612861
12384.0,29,2,585.27,0,-0.163592255706036,-0.4472002074149929
12386.0,338,2,401.9,3,-1.2681482612745099,0.9537095247140178
12388.0,16,6,2780.66,1,1.5587445541981353,0.08464947658792098
12390.0,80,1,549.84,3,-0.939483487049372,0.004062740498858418
12391.0,22,1,460.89,0,-0.5419874572875218,-0.8581966000267335
12393.0,72,4,1582.6000000000001,2,0.43021421498820867,0.6743491059808397
12394.0,64,2,1272.48,2,-0.09093258965185506,0.3251965418674776
12395.0,19,12,3018.63,1,2.0955590168786906,0.45540799777514124
12397.0,36,2,2409.9,2,0.4272496023222021,0.20012303714128657
12398.0,46,1,1635.6599999999999,2,-0.21474267565219218,0.05509963601649568
12399.0,119,4,1108.65,2,0.07151790488550003,0.8600979116463882
12401.0,303,1,84.3,3,-2.3300001503362617,0.16407038133630852
12402.0,323,1,225.6,3,-1.8907212605685593,0.5598719258295134
12403.0,50,1,427.7,3,-0.8816661430600801,-0.38043820415909724
12405.0,149,1,1710.39,2,-0.636999271672788,0.807105264295111
12406.0,22,2,3415.3,2,0.7743205656033002,0.0254923021093134
12407.0,50,5,1708.1200000000001,2,0.7683735592717778,0.5447731571974693
12408.0,33,5,2888.55,2,1.1724978592469193,0.47872532675101936
12409.0,79,3,11072.67,2,1.1162838930136416,1.354143163753369
12410.0,309,2,693.3299999999999,3,-0.9757065755782934,1.0949947205750286
12412.0,75,3,1226.88,2,0.09224918132952804,0.5215961758547357
12413.0,67,3,758.1,2,-0.093458260083051,0.27613809222387237
12414.0,217,3,562.41,3,-0.6800924747452121,0.9063065314476106
12415.0,24,21,124914.53,1,4.252635175262886,2.15315415609385
12417.0,3,9,3649.1,1,2.563209976222719,-0.5968291937827157
12418.0,113,1,668.58,3,-0.9774400878310423,0.2917458017805738
12420.0,64,1,600.39,3,-0.8137299999401866,-0.10352081554933065
12421.0,16,4,807.04,0,0.6677669222651013,-0.49432230487325274
12422.0,96,3,803.5600000000001,2,-0.20158809919335388,0.5224989454812271
12423.0,1,8,1859.31,1,2.4129268576492446,-1.3219602634190466
12424.0,163,2,1760.96,2,-0.2905064655589656,1.0300677408457568
12425.0,78,1,777.2,3,-0.7659597586263914,0.11390742140558384
12426.0,195,1,582.73,3,-1.249628155666244,0.585414340706901
12427.0,22,3,825.8,0,0.36130245945515305,-0.3800639344673253
12428.0,26,9,7956.46,1,2.2033695320690465,0.8973490720610755
12429.0,9,4,3750.4,1,1.5990697357215151,-0.2722654680074058
12430.0,43,1,256.4,3,-1.0673241408840148,-0.6596084615639982
12431.0,36,15,6487.45,1,2.4112755812576956,1.203468406329307
12432.0,43,5,5059.32,2,1.3398720276002847,0.8460215809160653
12433.0,1,7,13375.87,1,3.2425381895567917,-0.6495829732729477
12434.0,85,2,806.14,2,-0.414303663896713,0.3368127566510647
12435.0,80,2,7829.89,2,0.686885613415412,1.1254373123191632
12436.0,100,1,509.01,3,-1.0603519149301428,0.11595601678721133
12437.0,2,18,4951.41,1,3.3985289953175797,-0.42160535651763
12438.0,14,2,2906.85,2,0.8611863658604613,-0.3041316152081488
12441.0,367,1,173.55,3,-2.0632217075594577,0.545672554390596
12442.0,3,1,172.06,0,-0.33943095273797175,-2.324317734605874
12444.0,21,5,5005.46,1,1.5996585348846923,0.40266486489330267
12445.0,22,1,133.4,0,-1.1278033410528816,-1.3072695431188266
12446.0,58,1,1002.3100000000001,3,-0.5338474485610625,0.021257103910794495
12447.0,243,1,476.49,3,-1.4286643373464458,0.65121796531051
12448.0,44,1,449.45,3,-0.8103544198260224,-0.44179050246956797
12449.0,22,4,4067.29,2,1.3192815271962923,0.28530877800543536
12450.0,156,2,197.88,3,-1.3090260302318828,0.20886061306810386
12451.0,11,5,9035.52,1,2.1115082383980783,0.23318795643448997
12452.0,17,2,430.57,0,-0.1137703464529582,-0.8825105303049675
12453.0,134,1,707.09,3,-1.0155110406896333,0.4192844209045485
12454.0,56,1,3528.34,2,0.0762028994867994,0.45694115093898374
12455.0,73,6,2466.86,2,0.9399048317485654,0.9736466254075837
12456.0,44,3,3181.04,2,0.7443739523670816,0.5357198558764455
12457.0,66,7,2363.23,2,1.0783080690516682,0.9463459463658824
12458.0,71,2,947.4,2,-0.26987584818829435,0.2828287127331991
12461.0,94,2,826.88,2,-0.44029630546153764,0.4091449600384708
12462.0,19,2,1189.59,0,0.3275150133350683,-0.4465689002691517
12463.0,53,4,1344.78,2,0.4681939641803548,0.42401511582944196
12464.0,10,8,1212.05,1,1.5585976688727647,-0.3966769717174274
12465.0,17,2,742.1899999999999,0,0.14414961428120154,-0.6847950380164753
12468.0,188,2,729.5400000000001,3,-0.762500962762818,0.7997618680133284
12471.0,2,30,19824.05,1,4.4995722250785635,0.27106954467448224
12472.0,32,7,6572.11,1,1.834146672102373,0.8693121746310415
12473.0,29,5,3938.5499999999997,2,1.3674144447169874,0.5121256645555684
12474.0,17,18,7375.79,1,2.902949677325859,0.8593412864503196
12475.0,54,1,723.38,3,-0.6615977368516811,-0.14174817337857612
12476.0,16,11,6816.42,1,2.471692094598073,0.6178460505291188
12477.0,23,6,13219.74,1,2.166650085616496,0.8703008874935565
12478.0,4,1,680.99,0,0.22606734460190275,-1.6839799985748227
12479.0,11,1,527.2,0,-0.22972797106263287,-1.2218787030000895
12480.0,28,4,3281.63,2,1.128881260709772,0.35421758167726475
12481.0,23,10,5596.32,1,2.1676394895881566,0.7313137318374735
12483.0,17,8,2484.98,1,1.7109056460531038,0.17657298264833957
12484.0,33,6,4541.72,2,1.5266290062743777,0.7025334982199641
12488.0,10,3,1298.66,0,0.8577822931788801,-0.6831809444239357
12489.0,336,1,334.93,3,-1.718921524037475,0.7280347595525998
12490.0,5,10,5417.93,1,2.681998202496145,-0.1593968635794975
12491.0,39,1,460.40000000000003,0,-0.7539498528407045,-0.5077293959100443
12492.0,63,2,263.21000000000004,3,-0.8313391422208981,-0.2567534301970271
12493.0,166,2,433.74,3,-0.9615130051933832,0.5324925310829166
12494.0,16,7,1246.1000000000001,2,1.2988483685871992,-0.15586643100457825
12497.0,82,1,1043.1,3,-0.6453551371303741,0.25214406415462914
12498.0,21,3,403.70000000000005,0,0.03927287050085817,-0.6681283269109054
12500.0,23,11,4257.82,1,2.116658915749402,0.6653308588881363
12501.0,337,1,2169.39,3,-0.8346864946529879,1.4086154148262384
12502.0,96,5,3723.87,2,0.8924029082599234,1.235764751916481
12504.0,18,2,482.04999999999995,0,-0.08095492214077195,-0.8072381303663316
12506.0,233,1,73.5,3,-2.2942375010223137,-0.0511000469971372
12507.0,134,3,1304.81,2,-0.09809349441589117,0.9082470013710985
12508.0,26,2,398.27,0,-0.3056209638760731,-0.65373859147156
12509.0,284,1,176.5,3,-1.9576017124504812,0.3897193562370989
12510.0,143,2,982.5699999999999,2,-0.5174612130786798,0.7355385430633985
12512.0,66,2,138.03,3,-1.1535208430280255,-0.46126798296594246
12513.0,113,1,612.29,3,-1.0191102663773473,0.25980240414054423
12514.0,267,1,1017.68,3,-1.1049500390965834,0.986333858656994
12515.0,353,1,383.7,3,-1.6733987177657914,0.808549704005754
12516.0,78,2,1312.06,2,-0.15094476971169427,0.4600012608857619
12517.0,28,5,2502.84,2,1.1652903727874406,0.32575744557947306
12518.0,1,5,2056.89,1,2.094054658121679,-1.4410378718766323
12519.0,64,1,340.84,3,-1.0817949590492744,-0.3090132295706555
12520.0,79,5,2634.26,2,0.8018184302367992,0.987718729907122
12521.0,143,1,599.68,3,-1.11823753402465,0.40035973799527563
12522.0,39,2,192.72,0,-0.7990045812562077,-0.6676297754704781
12523.0,19,11,1789.77,1,1.7752160525118474,0.23458822562721413
12524.0,9,8,4485.72,1,2.2157010534667743,0.01869689032589061
12526.0,1,3,1316.66,0,1.5157251077953917,-1.7590095003822095
12527.0,82,3,348.71000000000004,3,-0.5374051962748287,0.12058745083220113
12528.0,9,6,1933.48,1,1.5891520424420669,-0.38389926130582963
12530.0,60,4,1662.28,2,0.5221324680876237,0.5783471860060644
12531.0,15,1,125.22,0,-1.0189283799999684,-1.5601986682487443
12532.0,30,1,349.83000000000004,0,-0.7865559928490874,-0.7689933074349914
12534.0,131,1,1089.18,3,-0.8021493359981531,0.5620116833436027
12535.0,92,2,716.35,2,-0.500168680834463,0.34352539205026084
12536.0,43,3,12601.830000000002,2,1.406110044422801,1.0221605807203917
12538.0,29,1,363.95,0,-0.7553019365694251,-0.7754287353419925
12539.0,22,4,5568.35,2,1.4683117470145461,0.39955190673946406
12540.0,20,17,13400.24,1,3.078439596345366,1.153472226496555
12541.0,30,3,981.18,2,0.3289632065683342,-0.12817056941034782
12544.0,36,1,372.7,0,-0.8241968861985087,-0.6338445089505438
12545.0,75,2,1000.39,2,-0.26473645735229717,0.33688530383035664
12546.0,47,2,1161.5,2,-0.01834779651209353,0.09980411837936302
12547.0,198,2,207.79999999999998,3,-1.3765125808483087,0.3768655141359347
12548.0,166,1,95.19999999999999,3,-2.044033140184124,-0.17197996912875857
12550.0,79,1,964.83,3,-0.6682648568172075,0.2004578053289071
12551.0,358,1,168.0,3,-2.069093650272464,0.5182198142201107
12552.0,39,2,437.82,0,-0.41098932872673544,-0.37018623348583624
12553.0,8,10,3692.28,1,2.3451338266032886,-0.041789126860719755
12556.0,50,2,603.71,0,-0.35165944940159866,-0.09950976287976569
12557.0,16,5,11990.960000000001,1,2.1126891937006436,0.5569512558881067
12558.0,8,1,269.96,0,-0.43655293787966915,-1.6470888148286527
12559.0,311,2,561.71,3,-1.0779030065001827,1.0226143176818903
12560.0,5,3,2134.01,0,1.3249420301600405,-0.8869161503333378
12561.0,303,1,238.85,3,-1.8394077181099506,0.5401472230609016
12562.0,8,7,3781.7400000000002,1,2.0684281012771017,-0.1554452299246378
12564.0,261,1,456.9,3,-1.4757414963297615,0.6811055544992015
12565.0,289,1,145.92,3,-2.0539735401997667,0.3319639682001855
12566.0,86,1,351.65,3,-1.1784166437533226,-0.11286002112223092
12567.0,23,10,9401.28,1,2.413763609280654,0.919986804485894
